1,Joe,joe@google.com,123-555-0000,1990-08-27,55000.0,false,1
2,Bob,bob@google.com,123-555-0001,1991-01-05,15000.0,false,1
3,Bill,bill@google.com,123-555-0002,1994-04-16,25000.0,false,1
4,Ralph,ralph@google.com,123-555-0003,1995-05-08,10000.0,false,1
5,James,james@google.com,123-555-0004,1998-05-12,20000.0,false,1
6,Jessica,jessica@google.com,123-555-0005,1999-01-09,100000.0,true,1
7,Peter,peter@google.com,123-555-0006,2003-12-09,90000.0,false,1
8,Penny,penny@google.com,123-555-0007,2005-08-11,65000.0,false,2
9,Jenny,jenny@google.com,123-555-0008,2007-14-22,34000.0,false,2
10,Ellie,ellie@google.com,123-555-0009,2008-09-21,76000.0,true,2
11,Jared,jared@google.com,123-555-0010,2010-02-01,12000.0,true,3
12,Jordan,jordan@google.com,123-555-0011,2019-08-16,0.5,true,4
